Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
9093,26,2.0,45.72973678818752,28.8965516946566,5.0,4,5.0,1965,0.0,B,B,36,6714,2,2672.0,0,2,B
117,59,4.0,121.22525035713664,122.18054790475936,1.0,21,1.0,2016,0.0,B,B,18,3374,5,620.0,1,2,B
4270,1,1.0,45.91426626173156,36.56198486780415,1.0,8,24.0,1977,0.007122317,B,B,1,264,0,1177.4606946983547,0,1,B
13139,53,2.0,57.00721393455122,58.897823489408,1.0,10,18.0,2019,0.049637257,B,B,34,7759,0,229.0,1,3,B
12700,102,2.0,50.0974701676359,31.02497718754775,8.0,15,14.0,1975,0.23861713,B,B,26,3889,6,705.0,3,6,B
13420,27,2.0,66.2686434987951,39.26450110491086,8.0,5,3.0,2017,0.01405792,B,B,1,290,0,1177.4606946983547,0,0,B
9898,27,1.0,42.25890677523935,36.56198486780415,0.0,8,17.0,1977,0.011654127,B,B,4,915,0,1177.4606946983547,0,0,B
13599,23,3.0,65.23831177017196,64.91282286118853,1.0,13,17.0,1977,0.034656082,B,B,0,168,0,1177.4606946983547,0,0,B
14262,17,2.0,39.14532025482227,24.03727112295172,7.0,14,19.0,1970,0.0,B,B,18,3374,5,620.0,1,2,B
9577,19,3.0,62.38250154525821,45.15839031528968,5.0,9,9.0,1975,0.309479124,B,B,35,7715,4,990.0,0,6,B
13649,35,2.0,48.2197400784446,31.283301798479208,6.0,5,9.0,1971,0.089039719,B,B,33,7976,5,1177.4606946983547,0,11,B
10378,18,3.0,80.42077614386,43.39224618255557,11.0,10,16.0,1997,0.0,B,B,30,5562,0,1177.4606946983547,0,5,A
4126,21,2.0,53.53522572813704,33.068450951272894,9.0,12,17.0,1988,0.034331497,B,B,25,5487,3,1177.4606946983547,0,4,B
15357,91,1.0,41.11348630656638,21.960906539205205,9.0,2,14.0,1972,0.333891544,B,B,30,6564,1,1177.4606946983547,0,0,B
11650,9,3.0,82.55532158508764,47.2817089291425,8.0,14,14.0,1992,0.161531741,B,B,25,5648,1,30.0,2,4,B
2606,124,2.0,62.6282500703456,37.62366396700681,7.0,13,15.0,1978,0.122090347,B,B,29,6566,7,1894.0,4,0,B
5669,67,2.0,48.177732028495406,29.18953073356276,6.0,8,9.0,1975,0.100455735,B,B,43,7227,0,1177.4606946983547,1,6,A
105,55,3.0,82.47795798479518,47.10566436630096,10.0,14,17.0,1990,0.041365446,B,B,31,5569,0,1177.4606946983547,1,4,B
15341,13,2.0,54.40969028447441,33.223632015030624,9.0,11,18.0,1999,0.090799103,B,B,74,19083,2,1177.4606946983547,5,15,B
497,18,1.0,44.79381324648399,23.97331115777069,8.0,8,14.0,1987,0.0,B,B,30,5562,0,1177.4606946983547,0,5,A
11285,41,3.0,82.45766525753791,47.59359200242936,10.0,13,22.0,2012,0.175054867,B,B,36,10055,3,1177.4606946983547,1,0,B
7737,80,2.0,55.90369941173832,31.944822354342342,8.0,4,12.0,1980,0.0,B,B,39,8647,0,810.0,0,5,B
10590,26,2.0,41.51246093959707,25.81133092296324,6.0,4,12.0,1967,0.0,B,B,36,6714,2,2672.0,0,2,B
6321,2,2.0,55.32762909591875,34.627817406454355,8.0,11,14.0,1996,0.309479124,B,B,35,7715,4,990.0,0,6,B
9308,53,1.0,35.51663856661769,22.000905813023948,6.0,5,9.0,1975,0.313924552,B,B,22,4625,11,3855.0,2,10,B
4176,0,2.0,42.96746158847596,29.40784130754601,5.0,5,5.0,1962,0.319809354,B,B,25,4756,16,2857.0,5,8,B
6533,1,2.0,64.91958316061056,36.56198486780415,10.0,19,22.0,2019,0.007122317,B,B,1,264,0,1177.4606946983547,0,1,B
10205,44,3.0,80.89178661685754,44.8916860542416,12.0,16,14.0,2007,0.232205084,B,B,24,4860,1,80.0,0,3,B
8690,33,1.0,38.057705767379495,21.864748957103146,9.0,10,14.0,1974,0.050272014,B,B,21,4231,14,1020.0,0,3,B
11954,62,3.0,67.79257251323413,45.68681061914103,6.0,8,9.0,1976,0.002211665,B,B,39,7614,3,1177.4606946983547,1,5,A
9038,1,2.0,65.55264734791389,36.56198486780415,1.0,15,17.0,1977,0.007122317,B,B,1,264,0,1177.4606946983547,0,1,B
